Symbol,Name,Last,%Chg,"5D %Chg","1M %Chg","52W %Chg",Opinion,Time
$AEX,"Aex Index",728.88,+0.43%,+0.14%,+8.48%,-5.93%,"8% Buy",2022-08-15
$AMX,"Amsterdam Midkap Index",982.53,+0.32%,+1.76%,+10.49%,-10.23%,"40% Sell",2022-08-15
$ATX,"Austrian Traded Index",3084.82,-0.09%,+1.35%,+7.77%,-15.42%,"40% Sell",2022-08-15
$BEL,"Bel 20 Index",3866.09,+0.57%,+1.77%,+4.38%,-11.37%,"40% Sell",2022-08-15
$BUX,"Bux Budapest Index",43034.16,-1.44%,-2.27%,+8.51%,-14.58%,"8% Sell",2022-08-15
$CAC,"CAC 40 Index",6569.95,+0.25%,+0.70%,+8.85%,-4.73%,"8% Buy",2022-08-15
$DAX,"DAX Stock Index",13816.61,+0.15%,+0.94%,+7.40%,-13.52%,"24% Sell",2022-08-15
$MDAX,"Mdax Index",27908.14,0.00%,+0.20%,+9.20%,-22.30%,"40% Sell",2022-08-15
$IBEX,"Ibex 35 Index",8427,+0.32%,+1.87%,+6.05%,-6.36%,"24% Sell",2022-08-15
$OBX,"Norway OBX Index",1134.63,-0.94%,+0.46%,+7.15%,+10.95%,"72% Buy",2022-08-15
$SSMI,"Swiss Market Index",11171.54,+0.39%,+0.05%,+1.73%,-10.37%,"40% Sell",2022-08-15
$STXE,"Euro Stoxx 50 Index",3789.62,+0.34%,+0.86%,+8.98%,-10.40%,"8% Buy",2022-08-15
$RTS,"RTS Index",1112.93,-0.30%,+2.71%,-4.18%,-33.22%,"88% Sell",2022-08-15
$AXJO,"ASX 200 Index",7064.3,+0.45%,+0.62%,+6.94%,-7.40%,"24% Sell",2022-08-15
$AORD,"All Ordinaries Index",7324.9,+0.50%,+0.90%,+7.75%,-7.25%,"24% Sell",2022-08-15
$NZD,"NZX 50 Index",11789.03,+0.50%,+0.74%,+5.99%,-7.64%,"8% Buy",2022-08-15
$JKSE,"Jakarta Composite Index",7093.28,-0.50%,+0.09%,+6.64%,+15.54%,"72% Buy",2022-08-15
$KLSE,"Bursa Malaysia KLCI Index",1504.01,-0.14%,+0.53%,+6.03%,-0.07%,"40% Sell",2022-08-15
$KSI,"Kospi 200 Index",330.67,+0.23%,+0.97%,+8.41%,-21.71%,"40% Sell",2022-08-12
$KSIC,"Kospi Composite Index",2527.94,+0.16%,+1.49%,+9.07%,-21.21%,"40% Sell",2022-08-12
$CSHZ,"CSI 300 Class A Index",4185.68,-0.13%,+0.91%,-1.48%,-15.37%,"40% Sell",2022-08-15
$CHSA,"Shanghai Class A Index",3432.65,-0.02%,+1.22%,+1.48%,-6.86%,"40% Sell",2022-08-15
$CHSB,"Shanghai Class B Index",308.5,+0.20%,+1.58%,+2.81%,+16.24%,"80% Buy",2022-08-15
$CHSC,"Shanghai Composite Index",3276.09,-0.02%,+1.21%,+1.49%,-6.83%,"40% Sell",2022-08-15
$CHZA,"Shenzhen Class A Index",2319.75,+0.47%,+1.57%,+2.66%,-10.20%,"24% Buy",2022-08-15
$CHZB,"Shenzhen Class B Index",1266.33,+0.11%,+0.37%,+4.43%,+4.16%,"88% Buy",2022-08-15
$CHZC,"Shenzhen Composite Index",2217.44,+0.47%,+1.57%,+2.66%,-10.18%,"24% Buy",2022-08-15
$HSI,"Hang Seng Index",20040.86,-0.67%,-0.02%,-1.27%,-24.06%,"88% Sell",2022-08-15
$HSCE,"Hang Seng China Enterprises Index",6814.47,-0.63%,-0.10%,-2.06%,-27.33%,"88% Sell",2022-08-15
$NIFT,"SGX CNX Nifty Index",17698.15,+0.22%,+1.82%,+10.21%,+8.15%,"24% Buy",2022-08-12
$NKY,"Nikkei 225 Index",28871.78,+1.14%,+2.47%,+7.78%,+3.20%,"72% Buy",2022-08-15
$TOPX,"Tokyo Topix Index",1984.96,+0.60%,+1.94%,+4.89%,+1.46%,"72% Buy",2022-08-15
$TWII,"Taiwan Weighted Index",15417.35,+0.84%,+2.64%,+5.96%,-9.21%,"56% Sell",2022-08-15
$SETF,"Thai Set50 Index",986.65,+0.10%,+1.78%,+4.86%,+7.53%,"8% Sell",2022-08-15
$BVSP,"Brazil Bovespa Index",113032,+0.24%,+4.27%,+17.07%,-6.73%,"8% Buy",2022-08-15
$MERV,"Argentina Merval Index",123333.9,-2.10%,-0.50%,+18.34%,+77.34%,"100% Buy",2022-08-15
$MXX,"Mexican Bolsa IPC Index",48638.37,-0.44%,+2.71%,+3.32%,-5.54%,"56% Sell",2022-08-15
"Downloaded from Barchart.com as of 08-16-2022 12:30am CDT"
